,name,total_points,value,GW
64,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,7.0,50.0,26
65,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,2.0,50.0,27
66,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,2.0,50.0,28
67,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,6.0,50.0,29
68,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,2.0,49.0,39
69,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,8.0,49.0,40
70,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,1.0,49.0,41
71,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,7.0,49.0,42
72,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,2.0,49.0,43
73,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,-3.0,50.0,44
74,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,0.0,50.0,45
75,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,0.0,49.0,46
76,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,0.0,49.0,47
77,Ã‡aglar_SÃ¶yÃ¼ncÃ¼_164,0.0,49.0,47
78,Aaron_Connolly_534,1.0,45.0,4
79,Aaron_Connolly_534,1.0,45.0,5
80,Aaron_Connolly_534,1.0,45.0,6
81,Aaron_Connolly_534,1.0,45.0,7
82,Aaron_Connolly_534,13.0,45.0,8
83,Aaron_Connolly_534,1.0,45.0,9
84,Aaron_Connolly_534,8.0,46.0,10
85,Aaron_Connolly_534,2.0,46.0,11
86,Aaron_Connolly_534,1.0,47.0,12
87,Aaron_Connolly_534,0.0,47.0,13
88,Aaron_Connolly_534,2.0,47.0,14
89,Aaron_Connolly_534,2.0,47.0,15
90,Aaron_Connolly_534,0.0,47.0,16
91,Aaron_Connolly_534,0.0,46.0,17
92,Aaron_Connolly_534,1.0,46.0,18
93,Aaron_Connolly_534,2.0,46.0,19
94,Aaron_Connolly_534,0.0,45.0,20
95,Aaron_Connolly_534,1.0,45.0,21
96,Aaron_Connolly_534,0.0,44.0,22
97,Aaron_Connolly_534,2.0,44.0,23
98,Aaron_Connolly_534,1.0,44.0,24
99,Aaron_Connolly_534,0.0,43.0,25
100,Aaron_Connolly_534,0.0,43.0,26
101,Aaron_Connolly_534,1.0,43.0,27
102,Aaron_Connolly_534,0.0,43.0,28
103,Aaron_Connolly_534,0.0,43.0,29
104,Aaron_Connolly_534,4.0,42.0,39
105,Aaron_Connolly_534,2.0,42.0,40
106,Aaron_Connolly_534,2.0,42.0,41
107,Aaron_Connolly_534,2.0,42.0,42
108,Aaron_Connolly_534,1.0,42.0,43
109,Aaron_Connolly_534,1.0,42.0,44
110,Aaron_Connolly_534,0.0,42.0,45
111,Aaron_Connolly_534,0.0,42.0,46
112,Aaron_Connolly_534,8.0,42.0,47
113,Aaron_Connolly_534,8.0,42.0,47
114,Aaron_Cresswell_376,0.0,50.0,1
115,Aaron_Cresswell_376,0.0,50.0,2
116,Aaron_Cresswell_376,0.0,50.0,3
117,Aaron_Cresswell_376,0.0,49.0,4
118,Aaron_Cresswell_376,0.0,49.0,5
119,Aaron_Cresswell_376,14.0,49.0,6
120,Aaron_Cresswell_376,7.0,49.0,7
121,Aaron_Cresswell_376,2.0,49.0,8
122,Aaron_Cresswell_376,0.0,50.0,9
123,Aaron_Cresswell_376,2.0,50.0,10
124,Aaron_Cresswell_376,0.0,49.0,11
125,Aaron_Cresswell_376,1.0,49.0,12
126,Aaron_Cresswell_376,1.0,48.0,13
127,Aaron_Cresswell_376,14.0,47.0,14
128,Aaron_Cresswell_376,0.0,47.0,15
129,Aaron_Cresswell_376,0.0,47.0,16
130,Aaron_Cresswell_376,6.0,47.0,17
131,Aaron_Cresswell_376,0.0,47.0,19
132,Aaron_Cresswell_376,0.0,47.0,20
133,Aaron_Cresswell_376,5.0,47.0,21
134,Aaron_Cresswell_376,2.0,47.0,22
135,Aaron_Cresswell_376,2.0,47.0,23
136,Aaron_Cresswell_376,1.0,47.0,24
137,Aaron_Cresswell_376,0.0,47.0,24
138,Aaron_Cresswell_376,1.0,47.0,25
139,Aaron_Cresswell_376,1.0,47.0,26
140,Aaron_Cresswell_376,1.0,46.0,27
141,Aaron_Cresswell_376,1.0,46.0,28
142,Aaron_Cresswell_376,2.0,46.0,29
143,Aaron_Cresswell_376,1.0,45.0,39
144,Aaron_Cresswell_376,1.0,45.0,40
145,Aaron_Cresswell_376,1.0,45.0,41
146,Aaron_Cresswell_376,1.0,45.0,42
147,Aaron_Cresswell_376,2.0,45.0,43
148,Aaron_Cresswell_376,6.0,45.0,44
149,Aaron_Cresswell_376,2.0,45.0,45
150,Aaron_Cresswell_376,2.0,45.0,46
151,Aaron_Cresswell_376,0.0,45.0,47
152,Aaron_Cresswell_376,0.0,45.0,47
153,Aaron_Lennon_430,1.0,50.0,1
154,Aaron_Lennon_430,1.0,50.0,2
155,Aaron_Lennon_430,0.0,49.0,3
156,Aaron_Lennon_430,2.0,49.0,4
157,Aaron_Lennon_430,0.0,49.0,5
158,Aaron_Lennon_430,1.0,49.0,6
159,Aaron_Lennon_430,0.0,48.0,7
160,Aaron_Lennon_430,1.0,48.0,8
161,Aaron_Lennon_430,1.0,48.0,9
162,Aaron_Lennon_430,0.0,48.0,10
163,Aaron_Lennon_430,0.0,48.0,11
164,Aaron_Lennon_430,0.0,47.0,12
165,Aaron_Lennon_430,0.0,47.0,13
166,Aaron_Lennon_430,1.0,47.0,14
167,Aaron_Lennon_430,2.0,47.0,15
168,Aaron_Lennon_430,1.0,47.0,16
169,Aaron_Lennon_430,0.0,47.0,17
170,Aaron_Lennon_430,1.0,47.0,18
171,Aaron_Lennon_430,0.0,47.0,19
172,Aaron_Lennon_430,0.0,47.0,20
173,Aaron_Lennon_430,0.0,47.0,21
174,Aaron_Lennon_430,1.0,47.0,22
175,Aaron_Lennon_430,1.0,46.0,23
176,Aaron_Lennon_430,0.0,46.0,24
177,Aaron_Lennon_430,0.0,46.0,25
178,Aaron_Lennon_430,0.0,46.0,26
179,Aaron_Lennon_430,0.0,46.0,27
180,Aaron_Lennon_430,0.0,46.0,28
181,Aaron_Lennon_430,1.0,46.0,29
182,Aaron_Lennon_430,0.0,46.0,39
183,Aaron_Lennon_430,0.0,46.0,40
184,Aaron_Lennon_430,0.0,46.0,41
185,Aaron_Lennon_430,0.0,46.0,42
186,Aaron_Lennon_430,0.0,46.0,43
187,Aaron_Lennon_430,0.0,46.0,44
188,Aaron_Lennon_430,0.0,46.0,45
189,Aaron_Lennon_430,0.0,46.0,46
190,Aaron_Lennon_430,0.0,46.0,47
191,Aaron_Lennon_430,0.0,46.0,47
192,Aaron_Mooy_516,0.0,50.0,1
193,Aaron_Mooy_516,1.0,50.0,2
194,Aaron_Mooy_516,0.0,50.0,3
195,Aaron_Mooy_516,0.0,50.0,4
196,Aaron_Mooy_516,1.0,49.0,5
197,Aaron_Mooy_516,3.0,49.0,6
198,Aaron_Mooy_516,2.0,49.0,7
199,Aaron_Mooy_516,3.0,48.0,8
200,Aaron_Mooy_516,-2.0,48.0,9
201,Aaron_Mooy_516,0.0,48.0,10
202,Aaron_Mooy_516,0.0,48.0,11
203,Aaron_Mooy_516,0.0,48.0,12
204,Aaron_Mooy_516,2.0,48.0,13
205,Aaron_Mooy_516,2.0,48.0,14
206,Aaron_Mooy_516,8.0,48.0,15
207,Aaron_Mooy_516,2.0,48.0,16
208,Aaron_Mooy_516,2.0,48.0,17
209,Aaron_Mooy_516,2.0,48.0,18
210,Aaron_Mooy_516,2.0,48.0,19
211,Aaron_Mooy_516,11.0,48.0,20
212,Aaron_Mooy_516,2.0,48.0,21
213,Aaron_Mooy_516,0.0,48.0,22
214,Aaron_Mooy_516,2.0,48.0,23
215,Aaron_Mooy_516,10.0,48.0,24
216,Aaron_Mooy_516,2.0,48.0,25
217,Aaron_Mooy_516,2.0,48.0,26
218,Aaron_Mooy_516,2.0,48.0,27
219,Aaron_Mooy_516,2.0,48.0,28
220,Aaron_Mooy_516,3.0,48.0,29
221,Aaron_Mooy_516,0.0,48.0,39
222,Aaron_Mooy_516,3.0,48.0,40
223,Aaron_Mooy_516,1.0,48.0,41
224,Aaron_Mooy_516,6.0,47.0,42
225,Aaron_Mooy_516,1.0,47.0,43
226,Aaron_Mooy_516,2.0,47.0,44
227,Aaron_Mooy_516,1.0,47.0,45
228,Aaron_Mooy_516,1.0,47.0,46
229,Aaron_Mooy_516,1.0,47.0,47
230,Aaron_Mooy_516,1.0,47.0,47
231,Aaron_Ramsdale_494,2.0,45.0,1
232,Aaron_Ramsdale_494,4.0,45.0,2
233,Aaron_Ramsdale_494,1.0,45.0,3
234,Aaron_Ramsdale_494,1.0,45.0,4
235,Aaron_Ramsdale_494,3.0,45.0,5
236,Aaron_Ramsdale_494,10.0,45.0,6
237,Aaron_Ramsdale_494,2.0,45.0,7
238,Aaron_Ramsdale_494,2.0,45.0,8
239,Aaron_Ramsdale_494,6.0,45.0,9
240,Aaron_Ramsdale_494,8.0,45.0,10
241,Aaron_Ramsdale_494,9.0,45.0,11
242,Aaron_Ramsdale_494,4.0,46.0,12
243,Aaron_Ramsdale_494,2.0,47.0,13
244,Aaron_Ramsdale_494,1.0,47.0,14
245,Aaron_Ramsdale_494,2.0,47.0,15
246,Aaron_Ramsdale_494,3.0,46.0,16
247,Aaron_Ramsdale_494,10.0,46.0,17
248,Aaron_Ramsdale_494,2.0,46.0,18
249,Aaron_Ramsdale_494,2.0,46.0,19
250,Aaron_Ramsdale_494,2.0,47.0,20
251,Aaron_Ramsdale_494,1.0,47.0,21
252,Aaron_Ramsdale_494,0.0,47.0,22
253,Aaron_Ramsdale_494,3.0,47.0,23
254,Aaron_Ramsdale_494,4.0,47.0,24
255,Aaron_Ramsdale_494,3.0,47.0,25
256,Aaron_Ramsdale_494,2.0,46.0,26
257,Aaron_Ramsdale_494,3.0,46.0,27
258,Aaron_Ramsdale_494,2.0,46.0,28
259,Aaron_Ramsdale_494,2.0,46.0,29
260,Aaron_Ramsdale_494,1.0,45.0,39
261,Aaron_Ramsdale_494,2.0,45.0,40
262,Aaron_Ramsdale_494,1.0,45.0,41
263,Aaron_Ramsdale_494,2.0,45.0,42
264,Aaron_Ramsdale_494,6.0,45.0,43
265,Aaron_Ramsdale_494,3.0,45.0,44
266,Aaron_Ramsdale_494,1.0,45.0,45
267,Aaron_Ramsdale_494,11.0,44.0,46
268,Aaron_Ramsdale_494,3.0,44.0,47
269,Aaron_Ramsdale_494,3.0,44.0,47
270,Aaron_Wan-Bissaka_122,8.0,55.0,1
271,Aaron_Wan-Bissaka_122,1.0,55.0,2
272,Aaron_Wan-Bissaka_122,0.0,56.0,3
273,Aaron_Wan-Bissaka_122,2.0,56.0,4
274,Aaron_Wan-Bissaka_122,6.0,55.0,5
275,Aaron_Wan-Bissaka_122,1.0,55.0,6
276,Aaron_Wan-Bissaka_122,0.0,55.0,7
277,Aaron_Wan-Bissaka_122,0.0,55.0,8
278,Aaron_Wan-Bissaka_122,2.0,54.0,9
279,Aaron_Wan-Bissaka_122,1.0,54.0,10
280,Aaron_Wan-Bissaka_122,2.0,54.0,11
281,Aaron_Wan-Bissaka_122,2.0,54.0,12
282,Aaron_Wan-Bissaka_122,0.0,54.0,13
283,Aaron_Wan-Bissaka_122,1.0,54.0,14
284,Aaron_Wan-Bissaka_122,2.0,53.0,15
285,Aaron_Wan-Bissaka_122,3.0,53.0,16
286,Aaron_Wan-Bissaka_122,4.0,53.0,17
287,Aaron_Wan-Bissaka_122,1.0,53.0,18
288,Aaron_Wan-Bissaka_122,6.0,53.0,19
289,Aaron_Wan-Bissaka_122,0.0,53.0,20
290,Aaron_Wan-Bissaka_122,1.0,53.0,21
291,Aaron_Wan-Bissaka_122,6.0,53.0,22
292,Aaron_Wan-Bissaka_122,1.0,53.0,23
293,Aaron_Wan-Bissaka_122,1.0,53.0,24
294,Aaron_Wan-Bissaka_122,9.0,53.0,25
295,Aaron_Wan-Bissaka_122,10.0,53.0,26
296,Aaron_Wan-Bissaka_122,6.0,53.0,27
297,Aaron_Wan-Bissaka_122,2.0,53.0,28
298,Aaron_Wan-Bissaka_122,7.0,53.0,29
299,Aaron_Wan-Bissaka_122,2.0,53.0,39
300,Aaron_Wan-Bissaka_122,11.0,53.0,40
301,Aaron_Wan-Bissaka_122,10.0,54.0,41
302,Aaron_Wan-Bissaka_122,1.0,55.0,42
303,Aaron_Wan-Bissaka_122,5.0,55.0,43
304,Aaron_Wan-Bissaka_122,0.0,55.0,44
305,Aaron_Wan-Bissaka_122,5.0,55.0,45
306,Aaron_Wan-Bissaka_122,1.0,55.0,46
307,Aaron_Wan-Bissaka_122,7.0,55.0,47
308,Aaron_Wan-Bissaka_122,7.0,55.0,47
309,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,22
310,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,23
311,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,24
312,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,25
313,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,26
314,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,27
315,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,28
316,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,29
317,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,39
318,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,40
319,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,41
320,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,42
321,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,43
322,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,44
323,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,45
324,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,46
325,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,47
326,Abd-Al-Ali Morakinyo Olaposi_Koiki_596,0.0,40.0,47
327,Abdoulaye_DoucourÃ©_368,0.0,60.0,1
328,Abdoulaye_DoucourÃ©_368,2.0,60.0,2
329,Abdoulaye_DoucourÃ©_368,2.0,59.0,3
330,Abdoulaye_DoucourÃ©_368,1.0,59.0,4
331,Abdoulaye_DoucourÃ©_368,2.0,58.0,5
332,Abdoulaye_DoucourÃ©_368,2.0,58.0,6
333,Abdoulaye_DoucourÃ©_368,2.0,57.0,7
334,Abdoulaye_DoucourÃ©_368,3.0,57.0,8
335,Abdoulaye_DoucourÃ©_368,9.0,57.0,9
336,Abdoulaye_DoucourÃ©_368,2.0,57.0,10
337,Abdoulaye_DoucourÃ©_368,2.0,57.0,11
338,Abdoulaye_DoucourÃ©_368,3.0,57.0,12
339,Abdoulaye_DoucourÃ©_368,2.0,57.0,13
340,Abdoulaye_DoucourÃ©_368,2.0,57.0,14
341,Abdoulaye_DoucourÃ©_368,1.0,57.0,15
342,Abdoulaye_DoucourÃ©_368,2.0,57.0,16
343,Abdoulaye_DoucourÃ©_368,2.0,56.0,17
344,Abdoulaye_DoucourÃ©_368,2.0,56.0,18
345,Abdoulaye_DoucourÃ©_368,0.0,56.0,19
346,Abdoulaye_DoucourÃ©_368,6.0,56.0,20
347,Abdoulaye_DoucourÃ©_368,9.0,56.0,21
348,Abdoulaye_DoucourÃ©_368,14.0,56.0,22
349,Abdoulaye_DoucourÃ©_368,2.0,56.0,23
350,Abdoulaye_DoucourÃ©_368,1.0,56.0,24
351,Abdoulaye_DoucourÃ©_368,2.0,57.0,25
352,Abdoulaye_DoucourÃ©_368,9.0,57.0,26
353,Abdoulaye_DoucourÃ©_368,2.0,57.0,27
354,Abdoulaye_DoucourÃ©_368,6.0,57.0,28
355,Abdoulaye_DoucourÃ©_368,1.0,56.0,29
356,Abdoulaye_DoucourÃ©_368,3.0,56.0,39
357,Abdoulaye_DoucourÃ©_368,1.0,56.0,40
358,Abdoulaye_DoucourÃ©_368,1.0,56.0,41
359,Abdoulaye_DoucourÃ©_368,2.0,55.0,42
360,Abdoulaye_DoucourÃ©_368,2.0,55.0,43
361,Abdoulaye_DoucourÃ©_368,2.0,55.0,44
362,Abdoulaye_DoucourÃ©_368,5.0,55.0,45
363,Abdoulaye_DoucourÃ©_368,2.0,54.0,46
364,Abdoulaye_DoucourÃ©_368,2.0,54.0,47
365,Abdoulaye_DoucourÃ©_368,2.0,54.0,47
366,Adalberto_PeÃ±aranda_648,0.0,45.0,41
367,Adalberto_PeÃ±aranda_648,0.0,45.0,42
368,Adalberto_PeÃ±aranda_648,0.0,45.0,43
369,Adalberto_PeÃ±aranda_648,0.0,45.0,44
370,Adalberto_PeÃ±aranda_648,0.0,45.0,45
371,Adalberto_PeÃ±aranda_648,0.0,45.0,46
372,Adalberto_PeÃ±aranda_648,0.0,45.0,47
373,Adalberto_PeÃ±aranda_648,0.0,45.0,47
374,Adam_Idah_538,0.0,45.0,5
375,Adam_Idah_538,0.0,45.0,6
376,Adam_Idah_538,0.0,45.0,7
377,Adam_Idah_538,0.0,45.0,8
378,Adam_Idah_538,0.0,45.0,9
379,Adam_Idah_538,0.0,45.0,10
380,Adam_Idah_538,0.0,45.0,11
381,Adam_Idah_538,0.0,45.0,12
382,Adam_Idah_538,0.0,45.0,13
383,Adam_Idah_538,0.0,45.0,14
384,Adam_Idah_538,0.0,45.0,15
385,Adam_Idah_538,0.0,45.0,16
386,Adam_Idah_538,0.0,44.0,17
387,Adam_Idah_538,0.0,44.0,18
388,Adam_Idah_538,0.0,44.0,19
389,Adam_Idah_538,0.0,44.0,20
390,Adam_Idah_538,1.0,44.0,21
391,Adam_Idah_538,2.0,44.0,22
392,Adam_Idah_538,0.0,44.0,23
393,Adam_Idah_538,0.0,44.0,24
394,Adam_Idah_538,0.0,44.0,25
395,Adam_Idah_538,0.0,44.0,26
396,Adam_Idah_538,0.0,44.0,27
397,Adam_Idah_538,0.0,44.0,28
398,Adam_Idah_538,1.0,44.0,29
399,Adam_Idah_538,1.0,44.0,39
400,Adam_Idah_538,1.0,44.0,40
401,Adam_Idah_538,1.0,44.0,41
402,Adam_Idah_538,1.0,44.0,42
403,Adam_Idah_538,1.0,44.0,43
404,Adam_Idah_538,1.0,44.0,44
405,Adam_Idah_538,1.0,44.0,45
406,Adam_Idah_538,1.0,44.0,46
407,Adam_Idah_538,1.0,44.0,47
408,Adam_Idah_538,1.0,44.0,47
409,Adam_Lallana_195,0.0,60.0,1
410,Adam_Lallana_195,0.0,60.0,2
411,Adam_Lallana_195,1.0,59.0,3
412,Adam_Lallana_195,0.0,59.0,4
413,Adam_Lallana_195,0.0,59.0,5
414,Adam_Lallana_195,1.0,58.0,6
415,Adam_Lallana_195,0.0,58.0,7
416,Adam_Lallana_195,1.0,58.0,8
417,Adam_Lallana_195,7.0,58.0,9
418,Adam_Lallana_195,0.0,58.0,10
419,Adam_Lallana_195,2.0,58.0,11
420,Adam_Lallana_195,0.0,58.0,12
421,Adam_Lallana_195,0.0,58.0,13
422,Adam_Lallana_195,1.0,58.0,14
423,Adam_Lallana_195,2.0,58.0,15
424,Adam_Lallana_195,0.0,58.0,16
425,Adam_Lallana_195,0.0,58.0,17
426,Adam_Lallana_195,1.0,58.0,19
427,Adam_Lallana_195,5.0,58.0,20
428,Adam_Lallana_195,1.0,58.0,21
429,Adam_Lallana_195,1.0,58.0,22
430,Adam_Lallana_195,1.0,58.0,23
431,Adam_Lallana_195,0.0,58.0,24
432,Adam_Lallana_195,0.0,58.0,24
433,Adam_Lallana_195,1.0,58.0,25
434,Adam_Lallana_195,0.0,58.0,26
435,Adam_Lallana_195,0.0,57.0,27
436,Adam_Lallana_195,1.0,57.0,28
437,Adam_Lallana_195,1.0,57.0,29
438,Adam_Lallana_195,0.0,57.0,39
439,Adam_Lallana_195,0.0,57.0,40
440,Adam_Lallana_195,0.0,57.0,41
441,Adam_Lallana_195,0.0,57.0,42
442,Adam_Lallana_195,0.0,57.0,43
443,Adam_Lallana_195,0.0,57.0,44
444,Adam_Lallana_195,0.0,57.0,45
445,Adam_Lallana_195,0.0,57.0,46
446,Adam_Lallana_195,0.0,57.0,47
447,Adam_Lallana_195,0.0,57.0,47
448,Adam_Masina_355,0.0,45.0,1
449,Adam_Masina_355,0.0,45.0,2
450,Adam_Masina_355,0.0,45.0,3
451,Adam_Masina_355,0.0,44.0,4
452,Adam_Masina_355,0.0,44.0,5
453,Adam_Masina_355,0.0,44.0,6
454,Adam_Masina_355,0.0,44.0,7
455,Adam_Masina_355,0.0,44.0,8
456,Adam_Masina_355,0.0,43.0,9
457,Adam_Masina_355,6.0,43.0,10
458,Adam_Masina_355,1.0,43.0,11
459,Adam_Masina_355,0.0,43.0,12
460,Adam_Masina_355,0.0,43.0,13
461,Adam_Masina_355,1.0,43.0,14
462,Adam_Masina_355,0.0,43.0,15
463,Adam_Masina_355,6.0,43.0,16
464,Adam_Masina_355,0.0,43.0,17
465,Adam_Masina_355,0.0,43.0,18
466,Adam_Masina_355,0.0,43.0,19
467,Adam_Masina_355,1.0,43.0,20
468,Adam_Masina_355,1.0,43.0,21
469,Adam_Masina_355,7.0,43.0,22
470,Adam_Masina_355,6.0,43.0,23
471,Adam_Masina_355,1.0,43.0,24
472,Adam_Masina_355,6.0,43.0,25
473,Adam_Masina_355,2.0,43.0,26
474,Adam_Masina_355,1.0,43.0,27
475,Adam_Masina_355,7.0,43.0,28
476,Adam_Masina_355,2.0,43.0,29
477,Adam_Masina_355,8.0,43.0,39
478,Adam_Masina_355,2.0,43.0,40
479,Adam_Masina_355,1.0,43.0,41
480,Adam_Masina_355,1.0,43.0,42
481,Adam_Masina_355,2.0,43.0,43
482,Adam_Masina_355,2.0,43.0,44
483,Adam_Masina_355,0.0,43.0,45
484,Adam_Masina_355,1.0,43.0,46
485,Adam_Masina_355,1.0,43.0,47
486,Adam_Masina_355,1.0,43.0,47
487,Adam_Smith_63,1.0,45.0,1
488,Adam_Smith_63,2.0,45.0,2
489,Adam_Smith_63,1.0,45.0,3
490,Adam_Smith_63,1.0,45.0,4
491,Adam_Smith_63,0.0,45.0,5
492,Adam_Smith_63,0.0,44.0,6
493,Adam_Smith_63,0.0,44.0,7
494,Adam_Smith_63,0.0,43.0,8
495,Adam_Smith_63,5.0,43.0,9
496,Adam_Smith_63,6.0,43.0,10
497,Adam_Smith_63,12.0,43.0,11
498,Adam_Smith_63,1.0,43.0,12
499,Adam_Smith_63,1.0,43.0,13
500,Adam_Smith_63,0.0,43.0,14
501,Adam_Smith_63,2.0,43.0,15
502,Adam_Smith_63,0.0,43.0,16
503,Adam_Smith_63,0.0,43.0,17
504,Adam_Smith_63,0.0,43.0,18
505,Adam_Smith_63,0.0,43.0,19
506,Adam_Smith_63,0.0,43.0,20
507,Adam_Smith_63,0.0,43.0,21
508,Adam_Smith_63,0.0,43.0,22
509,Adam_Smith_63,1.0,43.0,23
510,Adam_Smith_63,2.0,43.0,24
511,Adam_Smith_63,2.0,43.0,25
512,Adam_Smith_63,1.0,43.0,26
513,Adam_Smith_63,0.0,43.0,27
514,Adam_Smith_63,0.0,43.0,28
